Feature,p-value,Significance
aaliyah,0.7796794992461765,Tidak Signifikan
aam,0.7796794992461765,Tidak Signifikan
aap,0.7796794992461765,Tidak Signifikan
abah,0.6271708291758586,Tidak Signifikan
abai,0.7796794992461765,Tidak Signifikan
abang,0.5747455125937104,Tidak Signifikan
abangrangkasbitung,0.7796794992461765,Tidak Signifikan
abbas,0.7796794992461765,Tidak Signifikan
abdi,0.08331536586931391,Tidak Signifikan
abdul,0.7796794992461765,Tidak Signifikan
abdurachman,0.7796794992461765,Tidak Signifikan
abg,0.5747455125937104,Tidak Signifikan
abk,0.7796794992461765,Tidak Signifikan
aborsi,0.7796794992461765,Tidak Signifikan
abra,0.7796794992461765,Tidak Signifikan
abraham,0.7796794992461765,Tidak Signifikan
absen,0.6918727410450529,Tidak Signifikan
absentia,0.7796794992461765,Tidak Signifikan
abu,0.49174717086200426,Tidak Signifikan
abuya,0.7796794992461765,Tidak Signifikan
ac,0.5747455125937104,Tidak Signifikan
academy,0.0003680670531365492,Signifikan
acara,0.001892012446988424,Signifikan
accident,0.7796794992461765,Tidak Signifikan
ace,0.6271708291758586,Tidak Signifikan
aceh,0.3744177977928351,Tidak Signifikan
acep,0.6918727410450529,Tidak Signifikan
achmad,0.7796794992461765,Tidak Signifikan
aci,0.7796794992461765,Tidak Signifikan
acung,0.7796794992461765,Tidak Signifikan
ad,0.7796794992461765,Tidak Signifikan
ada,0.6271708291758586,Tidak Signifikan
adab,0.6918727410450529,Tidak Signifikan
adakalau,0.7796794992461765,Tidak Signifikan
adang,0.7796794992461765,Tidak Signifikan
adanggita,0.7796794992461765,Tidak Signifikan
adart,0.7796794992461765,Tidak Signifikan
adat,0.5303427949823072,Tidak Signifikan
ade,0.4576215540728772,Tidak Signifikan
adem,0.7796794992461765,Tidak Signifikan
adha,9.121150653244714e-19,Signifikan
adhi,0.7796794992461765,Tidak Signifikan
adhoc,0.7796794992461765,Tidak Signifikan
adhyaksa,1.7642893746464833e-13,Signifikan
adi,0.4270807732636752,Tidak Signifikan
adianto,0.7796794992461765,Tidak Signifikan
adik,0.6271708291758586,Tidak Signifikan
adikkakak,0.7796794992461765,Tidak Signifikan
adil,0.2763150266818275,Tidak Signifikan
adilberkelanjutan,0.7796794992461765,Tidak Signifikan
adipradana,0.7796794992461765,Tidak Signifikan
aditya,0.7796794992461765,Tidak Signifikan
adki,0.6918727410450529,Tidak Signifikan
admin,0.6271708291758586,Tidak Signifikan
administrasi,0.6271708291758586,Tidak Signifikan
adu,0.9808830234249166,Tidak Signifikan
advokat,0.6918727410450529,Tidak Signifikan
aerospace,0.0003680670531365492,Signifikan
afc,0.6918727410450529,Tidak Signifikan
afdol,0.0003680670531365492,Signifikan
aff,0.7796794992461765,Tidak Signifikan
afghanistan,0.5747455125937104,Tidak Signifikan
afif,0.7796794992461765,Tidak Signifikan
afiliasi,0.7796794992461765,Tidak Signifikan
afriansyah,0.7796794992461765,Tidak Signifikan
afrika,0.6918727410450529,Tidak Signifikan
afsel,0.6271708291758586,Tidak Signifikan
agama,0.9231493606958348,Tidak Signifikan
agenda,0.7796794992461765,Tidak Signifikan
ageng,0.7796794992461765,Tidak Signifikan
agk,0.7796794992461765,Tidak Signifikan
agraria,0.7796794992461765,Tidak Signifikan
agresi,0.7796794992461765,Tidak Signifikan
agung,0.6586404005750681,Tidak Signifikan
agustus,0.49174717086200426,Tidak Signifikan
ahli,0.3514795588882985,Tidak Signifikan
ahmad,0.3109727280501696,Tidak Signifikan
ahmadinejad,0.7796794992461765,Tidak Signifikan
ahok,0.19735961484135534,Tidak Signifikan
ahy,0.9842012783176137,Tidak Signifikan
ai,0.17353005797327115,Tidak Signifikan
aiman,0.6271708291758586,Tidak Signifikan
aipda,0.7796794992461765,Tidak Signifikan
aiptu,0.6918727410450529,Tidak Signifikan
air,0.8054648773894468,Tidak Signifikan
airbusuk,0.7796794992461765,Tidak Signifikan
airin,0.49174717086200426,Tidak Signifikan
airinade,0.5747455125937104,Tidak Signifikan
airlanggasri,0.7796794992461765,Tidak Signifikan
airports,0.7796794992461765,Tidak Signifikan
airways,0.7796794992461765,Tidak Signifikan
aisyiah,0.7796794992461765,Tidak Signifikan
aja,0.5747455125937104,Tidak Signifikan
ajak,1.3912857686343603e-06,Signifikan
ajakajaklah,0.7796794992461765,Tidak Signifikan
ajang,0.47619390662306504,Tidak Signifikan
ajar,0.590202491815169,Tidak Signifikan
aji,0.49174717086200426,Tidak Signifikan
ajlb,0.7796794992461765,Tidak Signifikan
ajp,0.7796794992461765,Tidak Signifikan
aju,0.3995001727115154,Tidak Signifikan
aka,0.0003680670531365492,Signifikan
akabri,0.7796794992461765,Tidak Signifikan
akademi,0.6918727410450529,Tidak Signifikan
akademik,0.6918727410450529,Tidak Signifikan
akademika,0.020277198727995705,Signifikan
akan,0.6918727410450529,Tidak Signifikan
akbar,0.9545622439903421,Tidak Signifikan
akbp,0.7796794992461765,Tidak Signifikan
akd,0.7796794992461765,Tidak Signifikan
akibat,0.14351339750782108,Tidak Signifikan
aklamasi,0.6271708291758586,Tidak Signifikan
akomodir,0.7796794992461765,Tidak Signifikan
akpol,0.3780943392694144,Tidak Signifikan
akrab,0.6918727410450529,Tidak Signifikan
akreditasi,0.7796794992461765,Tidak Signifikan
akses,0.3744177977928351,Tidak Signifikan
aksesoris,0.7796794992461765,Tidak Signifikan
akseyna,0.6918727410450529,Tidak Signifikan
aksi,0.10038677811539953,Tidak Signifikan
aktif,0.4270807732636752,Tidak Signifikan
aktivis,0.7796794992461765,Tidak Signifikan
aktivitas,0.6271708291758586,Tidak Signifikan
aktor,0.6271708291758586,Tidak Signifikan
aku,0.24635353629155654,Tidak Signifikan
akuarium,0.7796794992461765,Tidak Signifikan
akun,0.5747455125937104,Tidak Signifikan
akuntabilitas,0.7796794992461765,Tidak Signifikan
al,0.2758229555264251,Tidak Signifikan
ala,0.7796794992461765,Tidak Signifikan
alam,0.08568185845099326,Tidak Signifikan
alamat,0.02034845769131213,Signifikan
alami,0.4270807732636752,Tidak Signifikan
alarm,0.7796794992461765,Tidak Signifikan
alas,0.8498858376762148,Tidak Signifikan
alat,0.5747455125937104,Tidak Signifikan
albaghdadi,0.0003680670531365492,Signifikan
albert,0.7796794992461765,Tidak Signifikan
alexei,0.6271708291758586,Tidak Signifikan
alga,0.7796794992461765,Tidak Signifikan
alhamdulillah,0.7796794992461765,Tidak Signifikan
ali,0.6918727410450529,Tidak Signifikan
aliansi,0.6918727410450529,Tidak Signifikan
alice,0.7796794992461765,Tidak Signifikan
alih,0.49174717086200426,Tidak Signifikan
alir,0.5303427949823072,Tidak Signifikan
all,0.08293242120516794,Tidak Signifikan
allah,0.7796794992461765,Tidak Signifikan
almarhum,0.7796794992461765,Tidak Signifikan
alokasi,0.6271708291758586,Tidak Signifikan
alor,0.08293242120516794,Tidak Signifikan
alphard,0.6918727410450529,Tidak Signifikan
alternatif,0.6271708291758586,Tidak Signifikan
alu,0.7796794992461765,Tidak Signifikan
alumni,0.6918727410450529,Tidak Signifikan
alunalun,0.6918727410450529,Tidak Signifikan
alur,0.5747455125937104,Tidak Signifikan
alutsista,0.6918727410450529,Tidak Signifikan
alwi,0.49174717086200426,Tidak Signifikan
amal,0.6918727410450529,Tidak Signifikan
aman,0.04375119107484513,Signifikan
amanah,0.7796794992461765,Tidak Signifikan
amanat,0.6271708291758586,Tidak Signifikan
amandemen,0.6918727410450529,Tidak Signifikan
amarah,0.7796794992461765,Tidak Signifikan
amat,0.4576215540728772,Tidak Signifikan
ambang,0.6271708291758586,Tidak Signifikan
ambil,0.33040627049938265,Tidak Signifikan
ambles,0.6918727410450529,Tidak Signifikan
ambon,0.7796794992461765,Tidak Signifikan
ambruk,0.5303427949823072,Tidak Signifikan
ambulans,0.6271708291758586,Tidak Signifikan
amen,0.5303427949823072,Tidak Signifikan
amicus,0.6918727410450529,Tidak Signifikan
amien,0.7796794992461765,Tidak Signifikan
amin,0.6553036821562648,Tidak Signifikan
ammpmc,0.6918727410450529,Tidak Signifikan
amonia,0.7796794992461765,Tidak Signifikan
ampi,0.5747455125937104,Tidak Signifikan
ampuh,0.7796794992461765,Tidak Signifikan
amsari,0.7796794992461765,Tidak Signifikan
amuk,0.5747455125937104,Tidak Signifikan
amunisi,0.6271708291758586,Tidak Signifikan
anak,0.00015134772037394824,Signifikan
anakanak,0.6271708291758586,Tidak Signifikan
anakmantu,0.7796794992461765,Tidak Signifikan
anakmenantu,0.7796794992461765,Tidak Signifikan
analisis,0.42708076985614496,Tidak Signifikan
anambas,0.7796794992461765,Tidak Signifikan
anas,0.6271708291758586,Tidak Signifikan
ancam,0.11682601697022711,Tidak Signifikan
ancangancang,0.5303427949823072,Tidak Signifikan
ancol,0.47837997371283714,Tidak Signifikan
and,0.7796794992461765,Tidak Signifikan
andai,0.7796794992461765,Tidak Signifikan
andal,0.0003680670531365492,Signifikan
andi,0.5303427949823072,Tidak Signifikan
andika,0.5303427949823072,Tidak Signifikan
andra,0.8906643979766011,Tidak Signifikan
andradimyati,0.7796794992461765,Tidak Signifikan
andre,0.3995001727115154,Tidak Signifikan
andriani,0.7796794992461765,Tidak Signifikan
angelius,0.7796794992461765,Tidak Signifikan
anggap,0.3995001727115154,Tidak Signifikan
anggar,0.3514795588882985,Tidak Signifikan
angger,0.7796794992461765,Tidak Signifikan
anggoro,0.7796794992461765,Tidak Signifikan
anggota,0.034489466133542,Signifikan
anggur,0.7796794992461765,Tidak Signifikan
angin,0.29299382898344695,Tidak Signifikan
angka,0.03018578557091321,Signifikan
angkasa,0.7796794992461765,Tidak Signifikan
angkat,0.8200802103193969,Tidak Signifikan
angke,0.0003680670531365492,Signifikan
angket,0.4576215540728772,Tidak Signifikan
angkot,0.5303427949823072,Tidak Signifikan
angkut,0.4576215540728772,Tidak Signifikan
aniaya,0.15935191628008205,Tidak Signifikan
aniescak,0.17353005797327115,Tidak Signifikan
aniesganjar,0.5303427949823072,Tidak Signifikan
aniesheru,0.7796794992461765,Tidak Signifikan
anieskaesang,0.6271708291758586,Tidak Signifikan
aniesprabowoganjar,0.7796794992461765,Tidak Signifikan
aniessohibul,0.6271708291758586,Tidak Signifikan
animasi,0.7796794992461765,Tidak Signifikan
anita,0.7796794992461765,Tidak Signifikan
anjani,0.7796794992461765,Tidak Signifikan
anjing,0.3995001727115154,Tidak Signifikan
annisa,0.7796794992461765,Tidak Signifikan
anomali,0.020277198727995705,Signifikan
ansor,0.6918727410450529,Tidak Signifikan
antam,0.6271708291758586,Tidak Signifikan
antar,0.7796794992461765,Tidak Signifikan
antara,0.7796794992461765,Tidak Signifikan
antarkelompok,0.7796794992461765,Tidak Signifikan
antarnegara,0.7796794992461765,Tidak Signifikan
antarsuku,0.7796794992461765,Tidak Signifikan
antasari,0.7796794992461765,Tidak Signifikan
anti,0.7796794992461765,Tidak Signifikan
antiislam,0.7796794992461765,Tidak Signifikan
antiisrael,0.7796794992461765,Tidak Signifikan
antikemapanan,0.7796794992461765,Tidak Signifikan
antimuslim,0.7796794992461765,Tidak Signifikan
antiputin,0.7796794992461765,Tidak Signifikan
antisipasi,0.3995001727115154,Tidak Signifikan
antre,0.4576215540728772,Tidak Signifikan
antusias,0.014271403002827492,Signifikan
antusiasme,7.699978980461396e-05,Signifikan
anugerah,0.08312371487290687,Tidak Signifikan
anung,0.6271708291758586,Tidak Signifikan
anwar,0.6918727410450529,Tidak Signifikan
anyar,0.7796794992461765,Tidak Signifikan
aolia,0.7796794992461765,Tidak Signifikan
ap,0.7796794992461765,Tidak Signifikan
apa,0.6271708291758586,Tidak Signifikan
aparat,0.7796794992461765,Tidak Signifikan
apartemen,0.4576215540728772,Tidak Signifikan
apbd,0.6918727410450529,Tidak Signifikan
apbn,0.6918727410450529,Tidak Signifikan
apd,0.7796794992461765,Tidak Signifikan
apel,0.6271708291758586,Tidak Signifikan
api,0.8193305063838655,Tidak Signifikan
apik,0.02034845769131213,Signifikan
apk,0.6918727410450529,Tidak Signifikan
aplikasi,0.5747455125937104,Tidak Signifikan
apo,0.7796794992461765,Tidak Signifikan
apresiasi,0.12322872679548964,Tidak Signifikan
april,0.5303427949823072,Tidak Signifikan
aptadi,0.7796794992461765,Tidak Signifikan
aptika,0.7796794992461765,Tidak Signifikan
apung,0.7796794992461765,Tidak Signifikan
aqil,0.6271708291758586,Tidak Signifikan
aqsa,0.7796794992461765,Tidak Signifikan
ara,0.5303427949823072,Tidak Signifikan
arab,0.5303427949823072,Tidak Signifikan
arafah,0.6271708291758586,Tidak Signifikan
arafiq,0.6918727410450529,Tidak Signifikan
arah,0.6880421726311285,Tidak Signifikan
arama,0.7796794992461765,Tidak Signifikan
arang,0.7796794992461765,Tidak Signifikan
ardi,0.7796794992461765,Tidak Signifikan
ardiansyah,0.7796794992461765,Tidak Signifikan
area,0.5303427949823072,Tidak Signifikan
aren,0.6918727410450529,Tidak Signifikan
arena,0.7796794992461765,Tidak Signifikan
arfandi,0.0003680670531365492,Signifikan
argiyan,0.7796794992461765,Tidak Signifikan
aria,0.7796794992461765,Tidak Signifikan
arie,0.6271708291758586,Tidak Signifikan
arif,0.7796794992461765,Tidak Signifikan
arin,0.7796794992461765,Tidak Signifikan
