,title,label,new_title,Tokeniz,new_title2,stemmed_title
0,Kala Ganjar Tanya Influencer: Mau Makan Siang Gratis atau Internet Gratis?,soft,kala ganjar tanya influencer mau makan siang gratis atau internet gratis,"['kala', 'ganjar', 'tanya', 'influencer', 'mau', 'makan', 'siang', 'gratis', 'atau', 'internet', 'gratis']","['influencer', 'makan', 'siang', 'gratis', 'internet', 'gratis']","['influencer', 'makan', 'siang', 'gratis', 'internet', 'gratis']"
1,TKD Kepri Polisikan Bawaslu Terkait Pencopotan Baliho Prabowo-Gibran,hard,tkd kepri polisikan bawaslu terkait pencopotan baliho prabowogibran,"['tkd', 'kepri', 'polisikan', 'bawaslu', 'terkait', 'pencopotan', 'baliho', 'prabowogibran']","['tkd', 'kepri', 'polisikan', 'bawaslu', 'terkait', 'pencopotan', 'baliho']","['tkd', 'kepri', 'polisi', 'bawaslu', 'kait', 'copot', 'baliho']"
2,Penumpang KRL Capai 726 Ribu Saat Perayaan Tahun Baru 2024,hard,penumpang krl capai ribu saat perayaan tahun baru,"['penumpang', 'krl', 'capai', 'ribu', 'saat', 'perayaan', 'tahun', 'baru']","['penumpang', 'krl', 'capai', 'ribu', 'perayaan']","['tumpang', 'krl', 'capai', 'ribu', 'raya']"
3,Tol Cipali KM 188-72 Diterapkan One Way Arah Jakarta Malam Ini,hard,tol cipali km diterapkan one way arah jakarta malam ini,"['tol', 'cipali', 'km', 'diterapkan', 'one', 'way', 'arah', 'jakarta', 'malam', 'ini']","['tol', 'cipali', 'diterapkan', 'one', 'way', 'arah', 'malam']","['tol', 'cipali', 'terap', 'one', 'way', 'arah', 'malam']"
4,"Jepang Laporkan 60 Kali Gempa Usai Gempa M 7,5 Hari Ini",hard,jepang laporkan kali gempa usai gempa m hari ini,"['jepang', 'laporkan', 'kali', 'gempa', 'usai', 'gempa', 'm', 'hari', 'ini']","['jepang', 'laporkan', 'kali', 'gempa', 'gempa']","['jepang', 'lapor', 'kali', 'gempa', 'gempa']"
5,Cerita Warga Kena Macet Pulang dan Pergi saat Libur Tahun Baru ke PIK,soft,cerita warga kena macet pulang dan pergi saat libur tahun baru ke pik,"['cerita', 'warga', 'kena', 'macet', 'pulang', 'dan', 'pergi', 'saat', 'libur', 'tahun', 'baru', 'ke', 'pik']","['cerita', 'kena', 'macet', 'pulang', 'pergi', 'libur', 'pik']","['cerita', 'kena', 'macet', 'pulang', 'pergi', 'libur', 'pik']"
6,7 Cerita Macet Berjam-jam Saat Liburan di Ragunan,soft,cerita macet berjamjam saat liburan di ragunan,"['cerita', 'macet', 'berjamjam', 'saat', 'liburan', 'di', 'ragunan']","['cerita', 'macet', 'berjamjam', 'liburan', 'ragunan']","['cerita', 'macet', 'berjamjam', 'libur', 'ragunan']"
7,Siber Bareskrim Tangkap Pemilik Akun TikTok @presiden_ono_niha,hard,siber bareskrim tangkap pemilik akun tiktok presidenononiha,"['siber', 'bareskrim', 'tangkap', 'pemilik', 'akun', 'tiktok', 'presidenononiha']","['siber', 'bareskrim', 'tangkap', 'pemilik', 'akun', 'tiktok', 'presidenononiha']","['siber', 'bareskrim', 'tangkap', 'milik', 'akun', 'tiktok', 'presidenononiha']"
8,"Tema Debat Ketiga soal Pertahanan, Andika Perkasa Beri Masukan ke Ganjar",hard,tema debat ketiga soal pertahanan andika perkasa beri masukan ke ganjar,"['tema', 'debat', 'ketiga', 'soal', 'pertahanan', 'andika', 'perkasa', 'beri', 'masukan', 'ke', 'ganjar']","['tema', 'debat', 'ketiga', 'pertahanan', 'andika', 'perkasa', 'masukan']","['tema', 'debat', 'tiga', 'tahan', 'andika', 'perkasa', 'masuk']"
9,Analisis BMKG soal Gempa Kembali Guncang Sumedang Malam Ini,hard,analisis bmkg soal gempa kembali guncang sumedang malam ini,"['analisis', 'bmkg', 'soal', 'gempa', 'kembali', 'guncang', 'sumedang', 'malam', 'ini']","['analisis', 'bmkg', 'gempa', 'guncang', 'sumedang', 'malam']","['analisis', 'bmkg', 'gempa', 'guncang', 'sumedang', 'malam']"
10,"Gempa Kembali Guncang Sumedang Malam Ini, Pasien RSUD Dievakuasi",hard,gempa kembali guncang sumedang malam ini pasien rsud dievakuasi,"['gempa', 'kembali', 'guncang', 'sumedang', 'malam', 'ini', 'pasien', 'rsud', 'dievakuasi']","['gempa', 'guncang', 'sumedang', 'malam', 'pasien', 'rsud', 'dievakuasi']","['gempa', 'guncang', 'sumedang', 'malam', 'pasien', 'rsud', 'evakuasi']"
11,BMKG Pastikan Gempa dan Tsunami di Jepang Tak Berdampak ke Indonesia,hard,bmkg pastikan gempa dan tsunami di jepang tak berdampak ke indonesia,"['bmkg', 'pastikan', 'gempa', 'dan', 'tsunami', 'di', 'jepang', 'tak', 'berdampak', 'ke', 'indonesia']","['bmkg', 'pastikan', 'gempa', 'tsunami', 'jepang', 'berdampak']","['bmkg', 'pasti', 'gempa', 'tsunami', 'jepang', 'dampak']"
12,Penuhnya Tempat Wisata di Jakarta Saat Penghujung Libur Tahun Baru,hard,penuhnya tempat wisata di jakarta saat penghujung libur tahun baru,"['penuhnya', 'tempat', 'wisata', 'di', 'jakarta', 'saat', 'penghujung', 'libur', 'tahun', 'baru']","['penuhnya', 'wisata', 'penghujung', 'libur']","['penuh', 'wisata', 'hujung', 'libur']"
13,Polisi: 60 Ribu Kendaraan Tinggalkan Puncak Bogor Malam Ini,hard,polisi ribu kendaraan tinggalkan puncak bogor malam ini,"['polisi', 'ribu', 'kendaraan', 'tinggalkan', 'puncak', 'bogor', 'malam', 'ini']","['polisi', 'ribu', 'kendaraan', 'tinggalkan', 'puncak', 'malam']","['polisi', 'ribu', 'kendara', 'tinggal', 'puncak', 'malam']"
14,Cak Imin Ingin Ikut Anies Coba Live di TikTok: Tunggu Waktu yang Cocok,soft,cak imin ingin ikut anies coba live di tiktok tunggu waktu yang cocok,"['cak', 'imin', 'ingin', 'ikut', 'anies', 'coba', 'live', 'di', 'tiktok', 'tunggu', 'waktu', 'yang', 'cocok']","['coba', 'live', 'tiktok', 'tunggu', 'cocok']","['coba', 'live', 'tiktok', 'tunggu', 'cocok']"
15,Dugaan Perusakan Baliho Prabowo-Gibran di Lahat Sumsel Dilaporkan,hard,dugaan perusakan baliho prabowogibran di lahat sumsel dilaporkan,"['dugaan', 'perusakan', 'baliho', 'prabowogibran', 'di', 'lahat', 'sumsel', 'dilaporkan']","['dugaan', 'perusakan', 'baliho', 'lahat', 'sumsel', 'dilaporkan']","['duga', 'rusa', 'baliho', 'lahat', 'sumsel', 'lapor']"
16,Cak Imin Sebut Pemilu Tak Berjalan Normal: Kita bikin Semua Transparan,hard,cak imin sebut pemilu tak berjalan normal kita bikin semua transparan,"['cak', 'imin', 'sebut', 'pemilu', 'tak', 'berjalan', 'normal', 'kita', 'bikin', 'semua', 'transparan']","['pemilu', 'berjalan', 'normal', 'bikin', 'transparan']","['milu', 'jalan', 'normal', 'bikin', 'transparan']"
17,TKN Launching Platform AI Selfie Bareng Prabowo dan Gibran,soft,tkn launching platform ai selfie bareng prabowo dan gibran,"['tkn', 'launching', 'platform', 'ai', 'selfie', 'bareng', 'prabowo', 'dan', 'gibran']","['tkn', 'launching', 'platform', 'ai', 'selfie', 'bareng']","['tkn', 'launching', 'platform', 'ai', 'selfie', 'bareng']"
18,Cak Imin Cerita Dikenalkan oleh Gus Dur soal Makam Habib Husein Luar Batang,soft,cak imin cerita dikenalkan oleh gus dur soal makam habib husein luar batang,"['cak', 'imin', 'cerita', 'dikenalkan', 'oleh', 'gus', 'dur', 'soal', 'makam', 'habib', 'husein', 'luar', 'batang']","['cerita', 'dikenalkan', 'gus', 'dur', 'makam', 'habib', 'husein', 'batang']","['cerita', 'kenal', 'gus', 'dur', 'makam', 'habib', 'husein', 'batang']"
19,Ganjar Minta KPU Usut soal Viral WNI di Malaysia Ngaku Tak Masuk DPT,hard,ganjar minta kpu usut soal viral wni di malaysia ngaku tak masuk dpt,"['ganjar', 'minta', 'kpu', 'usut', 'soal', 'viral', 'wni', 'di', 'malaysia', 'ngaku', 'tak', 'masuk', 'dpt']","['kpu', 'usut', 'viral', 'wni', 'malaysia', 'ngaku', 'masuk', 'dpt']","['kpu', 'usut', 'viral', 'wni', 'malaysia', 'ngaku', 'masuk', 'dpt']"
20,Horor Amukan 2 Pengamen ke Sopir Bus di Bogor,hard,horor amukan pengamen ke sopir bus di bogor,"['horor', 'amukan', 'pengamen', 'ke', 'sopir', 'bus', 'di', 'bogor']","['horor', 'amukan', 'pengamen', 'sopir', 'bus']","['horor', 'amuk', 'amen', 'sopir', 'bus']"
21,Jenazah Rizal Ramli Akan Dimakamkan di TPU Jeruk Purut Jakarta Selatan,hard,jenazah rizal ramli akan dimakamkan di tpu jeruk purut jakarta selatan,"['jenazah', 'rizal', 'ramli', 'akan', 'dimakamkan', 'di', 'tpu', 'jeruk', 'purut', 'jakarta', 'selatan']","['jenazah', 'rizal', 'ramli', 'dimakamkan', 'tpu', 'jeruk', 'purut', 'selatan']","['jenazah', 'rizal', 'ramli', 'makam', 'tpu', 'jeruk', 'purut', 'selatan']"
22,Roy Suryo Dilaporkan ke Bareskrim soal Tuduhan Gibran Pakai 3 Mikrofon,hard,roy suryo dilaporkan ke bareskrim soal tuduhan gibran pakai mikrofon,"['roy', 'suryo', 'dilaporkan', 'ke', 'bareskrim', 'soal', 'tuduhan', 'gibran', 'pakai', 'mikrofon']","['roy', 'suryo', 'dilaporkan', 'bareskrim', 'tuduhan', 'pakai', 'mikrofon']","['roy', 'suryo', 'lapor', 'bareskrim', 'tuduh', 'pakai', 'mikrofon']"
23,Rizal Ramli Idap Kanker Pankreas Selama Dirawat di RSCM,hard,rizal ramli idap kanker pankreas selama dirawat di rscm,"['rizal', 'ramli', 'idap', 'kanker', 'pankreas', 'selama', 'dirawat', 'di', 'rscm']","['rizal', 'ramli', 'idap', 'kanker', 'pankreas', 'dirawat', 'rscm']","['rizal', 'ramli', 'idap', 'kanker', 'pankreas', 'rawat', 'rscm']"
