title,released,url
Kala Ganjar Tanya Influencer: Mau Makan Siang Gratis atau Internet Gratis?,01/1/2024 23:41 WIB,https://news.detik.com/pemilu/d-7119656/kala-ganjar-tanya-influencer-mau-makan-siang-gratis-atau-internet-gratis
TKD Kepri Polisikan Bawaslu Terkait Pencopotan Baliho Prabowo-Gibran,01/1/2024 23:22 WIB,https://news.detik.com/pemilu/d-7119650/tkd-kepri-polisikan-bawaslu-terkait-pencopotan-baliho-prabowo-gibran
Penumpang KRL Capai 726 Ribu Saat Perayaan Tahun Baru 2024,01/1/2024 23:12 WIB,https://news.detik.com/berita/d-7119647/penumpang-krl-capai-726-ribu-saat-perayaan-tahun-baru-2024
Tol Cipali KM 188-72 Diterapkan One Way Arah Jakarta Malam Ini,01/1/2024 23:00 WIB,https://news.detik.com/berita/d-7119643/tol-cipali-km-188-72-diterapkan-one-way-arah-jakarta-malam-ini
"Jepang Laporkan 60 Kali Gempa Usai Gempa M 7,5 Hari Ini",01/1/2024 22:33 WIB,https://news.detik.com/internasional/d-7119622/jepang-laporkan-60-kali-gempa-usai-gempa-m-7-5-hari-ini
Cerita Warga Kena Macet Pulang dan Pergi saat Libur Tahun Baru ke PIK,01/1/2024 22:16 WIB,https://news.detik.com/berita/d-7119610/cerita-warga-kena-macet-pulang-dan-pergi-saat-libur-tahun-baru-ke-pik
7 Cerita Macet Berjam-jam Saat Liburan di Ragunan,01/1/2024 22:08 WIB,https://news.detik.com/berita/d-7119602/7-cerita-macet-berjam-jam-saat-liburan-di-ragunan
Siber Bareskrim Tangkap Pemilik Akun TikTok @presiden_ono_niha,01/1/2024 22:04 WIB,https://news.detik.com/berita/d-7119600/siber-bareskrim-tangkap-pemilik-akun-tiktok-presiden-ono-niha
"Tema Debat Ketiga soal Pertahanan, Andika Perkasa Beri Masukan ke Ganjar",01/1/2024 21:46 WIB,https://news.detik.com/pemilu/d-7119593/tema-debat-ketiga-soal-pertahanan-andika-perkasa-beri-masukan-ke-ganjar
Analisis BMKG soal Gempa Kembali Guncang Sumedang Malam Ini,01/1/2024 21:39 WIB,https://news.detik.com/berita/d-7119573/analisis-bmkg-soal-gempa-kembali-guncang-sumedang-malam-ini
"Gempa Kembali Guncang Sumedang Malam Ini, Pasien RSUD Dievakuasi",01/1/2024 21:35 WIB,https://news.detik.com/berita/d-7119570/gempa-kembali-guncang-sumedang-malam-ini-pasien-rsud-dievakuasi
BMKG Pastikan Gempa dan Tsunami di Jepang Tak Berdampak ke Indonesia,01/1/2024 21:23 WIB,https://news.detik.com/berita/d-7119551/bmkg-pastikan-gempa-dan-tsunami-di-jepang-tak-berdampak-ke-indonesia
