title,label
Kala Ganjar Tanya Influencer: Mau Makan Siang Gratis atau Internet Gratis?,soft
TKD Kepri Polisikan Bawaslu Terkait Pencopotan Baliho Prabowo-Gibran,hard
Penumpang KRL Capai 726 Ribu Saat Perayaan Tahun Baru 2024,hard
Tol Cipali KM 188-72 Diterapkan One Way Arah Jakarta Malam Ini,hard
"Jepang Laporkan 60 Kali Gempa Usai Gempa M 7,5 Hari Ini",hard
Cerita Warga Kena Macet Pulang dan Pergi saat Libur Tahun Baru ke PIK,soft
7 Cerita Macet Berjam-jam Saat Liburan di Ragunan,soft
Siber Bareskrim Tangkap Pemilik Akun TikTok @presiden_ono_niha,hard
"Tema Debat Ketiga soal Pertahanan, Andika Perkasa Beri Masukan ke Ganjar",hard
Analisis BMKG soal Gempa Kembali Guncang Sumedang Malam Ini,hard
"Gempa Kembali Guncang Sumedang Malam Ini, Pasien RSUD Dievakuasi",hard
BMKG Pastikan Gempa dan Tsunami di Jepang Tak Berdampak ke Indonesia,hard
Penuhnya Tempat Wisata di Jakarta Saat Penghujung Libur Tahun Baru,hard
Polisi: 60 Ribu Kendaraan Tinggalkan Puncak Bogor Malam Ini,hard
Cak Imin Ingin Ikut Anies Coba Live di TikTok: Tunggu Waktu yang Cocok,soft
Dugaan Perusakan Baliho Prabowo-Gibran di Lahat Sumsel Dilaporkan,hard
Cak Imin Sebut Pemilu Tak Berjalan Normal: Kita bikin Semua Transparan,hard
TKN Launching Platform AI Selfie Bareng Prabowo dan Gibran,soft
Cak Imin Cerita Dikenalkan oleh Gus Dur soal Makam Habib Husein Luar Batang,soft
Ganjar Minta KPU Usut soal Viral WNI di Malaysia Ngaku Tak Masuk DPT,hard
Horor Amukan 2 Pengamen ke Sopir Bus di Bogor,hard
Jenazah Rizal Ramli Akan Dimakamkan di TPU Jeruk Purut Jakarta Selatan,hard
Roy Suryo Dilaporkan ke Bareskrim soal Tuduhan Gibran Pakai 3 Mikrofon,hard
Rizal Ramli Idap Kanker Pankreas Selama Dirawat di RSCM,hard
"Kaesang Hadiri Nobar di Tangsel, Jadi Rebutan Selfie Ibu-Ibu",soft
TKN Bakal Laporkan Jajaran Bawaslu Jakpus ke DKPP Buntut Pemanggilan Gibran,hard
Keluarga Ungkap Rizal Ramli Tak Ingin Publik Tahu Dirinya Sakit,soft
KPU Sudah Terima Surat Keberatan TKN soal MNC Jadi Penyelenggara Debat Ketiga,hard
"Jokowi Temui Warga Penerima Manfaat di Jateng, Pastikan Distribusi Bantuan",soft
Mardiono Anggap Mantan Kader PPP yang Dukung Prabowo-Gibran Penyusup,hard
Bawaslu Pamekasan Usut Aksi Gus Miftah Bagi-bagi Uang,hard
Kaesang Minta Pengurus PSI Banten Menangkan Prabowo-Gibran Satu Putaran,hard
TPN Ganjar-Mahfud Pastikan Tetap Dukung Penyaluran Bansos saat Pemilu,hard
Arya Wedakarna Juga Dilaporkan ke Polda Bali soal Ucapan Penutup Kepala,hard
Mahfud Minta Umat Islam di RI Melebur: Tak Boleh Berkiblat ke Timur Tengah,hard
"Ganjar Ungkap Hasil Rapat TPN, Bahas Persiapan Debat-Relawan Dikeroyok",hard
Upaya Jasa Raharja Optimalkan Layanan untuk Masyarakat,soft
"Eks Gubernur Bali Wayan Koster Diperiksa Polisi, Ada Apa?",hard
KPU Pandeglang Terima Surat Suara Presiden dan Wakil Presiden,hard
4 Jukir Mabuk Pengeroyok Oknum Polisi di Tangsel Jadi Tersangka,hard
Dirut Jasa Raharja Sambut Baik 4 Terminal Bus Baru di Purworejo-Blitar,hard
Jasa Raharja Jamin Santunan Korban Kecelakaan Bus Bhinneka di Tol Japek,hard
Cak Imin Terima Dukungan Laskar Santri AMIN Jawa Barat di Sumedang,hard
"Sowan ke Ponpes Assyfa di Sumedang, Cak Imin Didoakan Abuya Muhyiddin",hard
Pengacara Ungkap James Merasa Dihantui-Tak Bisa Tidur Usai Mutilasi Istri,hard
"Prabowo Soal Program Bagi Susu Gratis: Mungkin Harus Impor 1,5 Juta Sapi",hard
MenPAN-RB dan Mensos Bahas Integrasi Layanan Sosial di Portal Nasional,hard
AS dan China Kerahkan Kapal Perang Bikin Laut China Selatan Kian Tegang,hard
"Aniaya Anak Anggota DPRD Kepri, Seleb TikTok Satria Mahathir Ditangkap",hard
TKN Prabowo-Gibran Tegaskan Program Bagi-bagi Susu Tetap Lanjut,hard
Bantahan AS di Balik Ledakan Maut Tewaskan Puluhan Orang di Iran,hard
"Gibran Disebut Langgar Aturan CFD, Anies Singgung Kampanye Dihalangi",hard
"Todong Sajam-Peras Turis Asing, Sopir Taksi di Bali Diburu Polisi",hard
"Hujan Lebat, Rumah Kosong Tak Beratap di Pasar Minggu Roboh",hard
3 Fakta Jalan Olimo Jakbar Ambles hingga Sempat Bikin Macet,hard
"Komunitas Basket Jakarta Gabung Gaspol Bro, Ikut Dukung ke Prabowo-Gibran",soft
Pemkot Semarang Beri Santunan Program JKK Rp 255 Juta ke Pegawai Non-ASN,hard
Viral Pajero Ringsek Ditabrak Bus Haryanto lalu Ditinggal di Tol Batang,hard
TKN Nilai Bawaslu Jakpus Tak Profesional Soal Gibran Bagi-bagi Susu,hard
"Jakarta Hujan, 24 RT dan 8 Jalan Masih Tergenang hingga Banjir 1,2 Meter",hard
"Sepakat TPN Ganjar-Mahfud, Relawan JAMAN Nilai Bansos Perlu Terus Dilanjut",hard
Respons Anies soal Jokowi Dinner Bareng Prabowo: Kan Menteri dengan Presiden,hard
Prabowo Unggah Momen Penuh Tawa Saat Bertemu 4 Mata dengan Jokowi,soft
"Kini Giliran Komunitas Ondel-ondel Gabung Gaspoll Bro, Dukung Prabowo-Gibran",soft
"Video Call, Kapolri Puji Polisi Kalbar Korbankan Motor Ganjal Bus Gagal Nanjak",hard
"Ikut Dukung Prabowo-Gibran, Ibu-ibu Komunitas Senam Jabar Gabung Gaspoll Bro",soft
"Warga Belum Bisa Tempati Kampung Susun Bayam, Anies: Tega Sekali",hard
Jubir Prabowo Ungkap Alasan MEF Tak Capai Target di 2024,hard
"5 RT di Jaksel Masih Kebanjiran, Tinggi Air di Cilandak Timur 75 Cm",hard
4 Kesaksian Ngeri saat Kereta Adu Banteng di Cicalengka,hard
"Banjir Rendam Rumah di Bakti Jaya Tangsel, Akses Masuk Perumahan Terputus",hard
Tangis Ibunda Pecah Sambut Jenazah Julian Masinis KA Lokal Bandung,hard
"Canda Anies-Cak Imin di 'Resolusi Indonesia', Singgung Jalur MK dan Paman",soft
Kapolres Jakbar: Pemukul-Ancam Tembak Asisten Saipul Jamil Bukan Polisi,hard
"Cak Imin Jenguk Warga Sakit Saraf Kaki di Mojokerto, Beri Bantuan Pengobatan",soft
Polsek Menteng Sebar Edaran Larangan Tawuran,hard
Hasto Anggap Program Susu Gratis Prabowo-Gibran Tak Selesaikan Stunting,hard
"Sejumlah Ulama Banten Gabung Gaspoll Bro, Satukan Langkah Untuk Prabowo-Gibran",soft
