terms,p-value,Keterangan
aaliyah,0,Tidak Berdistribusi Normal
aam,0,Tidak Berdistribusi Normal
aap,0,Tidak Berdistribusi Normal
abah,0,Tidak Berdistribusi Normal
abai,0,Tidak Berdistribusi Normal
abang,0,Tidak Berdistribusi Normal
abangrangkasbitung,0,Tidak Berdistribusi Normal
abbas,0,Tidak Berdistribusi Normal
abdi,0,Tidak Berdistribusi Normal
abdul,0,Tidak Berdistribusi Normal
abg,0,Tidak Berdistribusi Normal
aborsi,0,Tidak Berdistribusi Normal
abra,0,Tidak Berdistribusi Normal
abraham,0,Tidak Berdistribusi Normal
absen,0,Tidak Berdistribusi Normal
absentia,0,Tidak Berdistribusi Normal
abu,0,Tidak Berdistribusi Normal
abuya,0,Tidak Berdistribusi Normal
ac,0,Tidak Berdistribusi Normal
acara,0,Tidak Berdistribusi Normal
accident,0,Tidak Berdistribusi Normal
ace,0,Tidak Berdistribusi Normal
aceh,0,Tidak Berdistribusi Normal
acep,0,Tidak Berdistribusi Normal
achmad,0,Tidak Berdistribusi Normal
ad,0,Tidak Berdistribusi Normal
ada,0,Tidak Berdistribusi Normal
adab,0,Tidak Berdistribusi Normal
adakalau,0,Tidak Berdistribusi Normal
adang,0,Tidak Berdistribusi Normal
adanggita,0,Tidak Berdistribusi Normal
adart,0,Tidak Berdistribusi Normal
adat,0,Tidak Berdistribusi Normal
ade,0,Tidak Berdistribusi Normal
adem,0,Tidak Berdistribusi Normal
adha,0,Tidak Berdistribusi Normal
adhi,0,Tidak Berdistribusi Normal
adhoc,0,Tidak Berdistribusi Normal
adhyaksa,0,Tidak Berdistribusi Normal
adi,0,Tidak Berdistribusi Normal
adianto,0,Tidak Berdistribusi Normal
adik,0,Tidak Berdistribusi Normal
adikkakak,0,Tidak Berdistribusi Normal
adil,0,Tidak Berdistribusi Normal
adilberkelanjutan,0,Tidak Berdistribusi Normal
adipradana,0,Tidak Berdistribusi Normal
aditya,0,Tidak Berdistribusi Normal
adki,0,Tidak Berdistribusi Normal
admin,0,Tidak Berdistribusi Normal
administrasi,0,Tidak Berdistribusi Normal
adu,0,Tidak Berdistribusi Normal
advokat,0,Tidak Berdistribusi Normal
aerospace,0,Tidak Berdistribusi Normal
afc,0,Tidak Berdistribusi Normal
afdol,0,Tidak Berdistribusi Normal
aff,0,Tidak Berdistribusi Normal
afghanistan,0,Tidak Berdistribusi Normal
afif,0,Tidak Berdistribusi Normal
afrika,0,Tidak Berdistribusi Normal
afsel,0,Tidak Berdistribusi Normal
agama,0,Tidak Berdistribusi Normal
agenda,0,Tidak Berdistribusi Normal
ageng,0,Tidak Berdistribusi Normal
agk,0,Tidak Berdistribusi Normal
agraria,0,Tidak Berdistribusi Normal
agresi,0,Tidak Berdistribusi Normal
agung,0,Tidak Berdistribusi Normal
agustus,0,Tidak Berdistribusi Normal
ahli,0,Tidak Berdistribusi Normal
ahmad,0,Tidak Berdistribusi Normal
ahmadinejad,0,Tidak Berdistribusi Normal
ahok,0,Tidak Berdistribusi Normal
ahy,0,Tidak Berdistribusi Normal
ai,0,Tidak Berdistribusi Normal
aiman,0,Tidak Berdistribusi Normal
aipda,0,Tidak Berdistribusi Normal
aiptu,0,Tidak Berdistribusi Normal
air,0,Tidak Berdistribusi Normal
airbusuk,0,Tidak Berdistribusi Normal
airin,0,Tidak Berdistribusi Normal
airinade,0,Tidak Berdistribusi Normal
airlanggasri,0,Tidak Berdistribusi Normal
airports,0,Tidak Berdistribusi Normal
airways,0,Tidak Berdistribusi Normal
aja,0,Tidak Berdistribusi Normal
ajak,0,Tidak Berdistribusi Normal
ajakajaklah,0,Tidak Berdistribusi Normal
ajang,0,Tidak Berdistribusi Normal
ajar,0,Tidak Berdistribusi Normal
aji,0,Tidak Berdistribusi Normal
ajp,0,Tidak Berdistribusi Normal
aju,0,Tidak Berdistribusi Normal
aka,0,Tidak Berdistribusi Normal
